urn:lsid:ipni.org:names:30013720-2	urn:kew.org:sanbi:LSP:tab1fam:ref:100	Obermeyer: 23 (1976).	Obermeyer	1976
urn:lsid:ipni.org:names:30000402-2	urn:kew.org:sanbi:LSP:tab1fam:ref:102	Stevens: 1 (1995).	Stevens	1995
urn:lsid:ipni.org:names:30006363-2	urn:kew.org:sanbi:LSP:tab1fam:ref:104	Robson: 102 (1963).	Robson	1963
urn:lsid:ipni.org:names:77126638-1	urn:kew.org:sanbi:LSP:tab1fam:ref:106	Mabberley: 267 (1997) as Grossulariaceae.	Mabberley	1997
urn:lsid:ipni.org:names:30375178-2	urn:kew.org:sanbi:LSP:tab1fam:ref:108	Radcliffe-Smith: 1 (1996).	Radcliffe-Smith	1996
urn:lsid:ipni.org:names:30000147-2	urn:kew.org:sanbi:LSP:tab1fam:ref:110	Polhill: 191 (1981b).	Polhill	1981
urn:lsid:ipni.org:names:30000116-2	urn:kew.org:sanbi:LSP:tab1fam:ref:112	Kubitzki: 301 (1993).	Kubitzki	1993
urn:lsid:ipni.org:names:30000229-2	urn:kew.org:sanbi:LSP:tab1fam:ref:114	Killick: 53 (1976).	Killick	1976
urn:lsid:ipni.org:names:30017175-2	urn:kew.org:sanbi:LSP:tab1fam:ref:116	Obermeyer: 32 (1976).	Obermeyer	1976
urn:lsid:ipni.org:names:60017076-3	urn:kew.org:sanbi:LSP:tab1fam:ref:118	Lidén: 310 (1993), as Fumariaceae.	Lidén	1993
urn:lsid:ipni.org:names:77126706-1	urn:kew.org:sanbi:LSP:tab1fam:ref:120	Dahlgren & Rao: 207 (1969).	Dahlgren & Rao	1969
urn:lsid:ipni.org:names:30000253-2	urn:kew.org:sanbi:LSP:tab1fam:ref:122	Takhtajan: 426 (1996).	Takhtajan	1996
urn:lsid:ipni.org:names:30001521-2	urn:kew.org:sanbi:LSP:tab1fam:ref:124	Van der Walt & Vorster: 1 (1988).	Van der Walt & Vorster	1988
urn:lsid:ipni.org:names:30000905-2	urn:kew.org:sanbi:LSP:tab1fam:ref:126	Mabberley: 299 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:77126661-1	urn:kew.org:sanbi:LSP:tab1fam:ref:128	Takhtajan: 111 (1997).	Takhtajan	1997
urn:lsid:ipni.org:names:77126671-1	urn:kew.org:sanbi:LSP:tab1fam:ref:130	Launert: 85 (1983).	Launert	1983
urn:lsid:ipni.org:names:77126708-1	urn:kew.org:sanbi:LSP:tab1fam:ref:134	Dahlgren & Van Wyk: 25 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:77126651-1	urn:kew.org:sanbi:LSP:tab1fam:ref:136	Mendes: 79 (1978) (Haloragaceae).	Mendes	1978
urn:lsid:ipni.org:names:77126648-1	urn:kew.org:sanbi:LSP:tab1fam:ref:140	Endress: 322 (1993).	Endress	1993
urn:lsid:ipni.org:names:77126704-1	urn:kew.org:sanbi:LSP:tab1fam:ref:142	Stannard: 59 (1997).	Stannard	1997
urn:lsid:ipni.org:names:30322906-2	urn:kew.org:sanbi:LSP:tab1fam:ref:144	Dahlgren & Van Wyk: 35 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:77126694-1	urn:kew.org:sanbi:LSP:tab1fam:ref:146	Meijer: 341 (1993).	Meijer	1993
urn:lsid:ipni.org:names:30000475-2	urn:kew.org:sanbi:LSP:tab1fam:ref:148	Verdcourt: 57 (1990).	Verdcourt	1990
urn:lsid:ipni.org:names:77126692-1	urn:kew.org:sanbi:LSP:tab1fam:ref:150	Stannard 10 (1997).	Stannard 10	1997
urn:lsid:ipni.org:names:30003049-2	urn:kew.org:sanbi:LSP:tab1fam:ref:152	Potgieter: 1 (1994).	Potgieter	1994
urn:lsid:ipni.org:names:77126810-1	urn:kew.org:sanbi:LSP:tab1fam:ref:154	Fernando et al.: 102 (1995).	Fernando et al.	1995
urn:lsid:ipni.org:names:30000097-2	urn:kew.org:sanbi:LSP:tab1fam:ref:156	Hedge et al.: 1 (1998).	Hedge et al.	1998
urn:lsid:ipni.org:names:30000569-2	urn:kew.org:sanbi:LSP:tab1fam:ref:158	Diniz: 45 (1997).	Diniz	1997
urn:lsid:ipni.org:names:30000348-2	urn:kew.org:sanbi:LSP:tab1fam:ref:160	Tsou: 1 (1994).	Tsou	1994
urn:lsid:ipni.org:names:30001689-2	urn:kew.org:sanbi:LSP:tab1fam:ref:162	Mabberley: 401 (1997).	Mabberley	1997
urn:lsid:ipni.org:names:30003859-2	urn:kew.org:sanbi:LSP:tab1fam:ref:164	Robson: 91 (1963).	Robson	1963
urn:lsid:ipni.org:names:30000160-2	urn:kew.org:sanbi:LSP:tab1fam:ref:166	Codd: 134 (1976).	Codd	1976
urn:lsid:ipni.org:names:30001606-2	urn:kew.org:sanbi:LSP:tab1fam:ref:168	Thulin: 116 (1983).	Thulin	1983
urn:lsid:ipni.org:names:30000121-2	urn:kew.org:sanbi:LSP:tab1fam:ref:170	Polhill & Wiens: 77 (1998).	Polhill & Wiens	1998
urn:lsid:ipni.org:names:30000194-2	urn:kew.org:sanbi:LSP:tab1fam:ref:172	Graham et al.: 435 (1998).	Graham et al.	1998
urn:lsid:ipni.org:names:30000017-2	urn:kew.org:sanbi:LSP:tab1fam:ref:174	Immelman: 63 (1986).	Immelman	1986
urn:lsid:ipni.org:names:30000208-2	urn:kew.org:sanbi:LSP:tab1fam:ref:176	Exell & Gonçalves: 1 (1979).	Exell & Gonçalves	1979
urn:lsid:ipni.org:names:30374374-2	urn:kew.org:sanbi:LSP:tab1fam:ref:178	Jacques-Félix: 235 (1995).	Jacques-Félix	1995
urn:lsid:ipni.org:names:30001419-2	urn:kew.org:sanbi:LSP:tab1fam:ref:180	Styles & White: 1 (1991).	Styles & White	1991
urn:lsid:ipni.org:names:77126627-1	urn:kew.org:sanbi:LSP:tab1fam:ref:182	Dahlgren & Van Wyk: 48 (1988).	Dahlgren & Van Wyk	1988
urn:lsid:ipni.org:names:30002579-2	urn:kew.org:sanbi:LSP:tab1fam:ref:184	Kessler: 402 (1993).	Kessler	1993
